model,status,evaluation_routes,evaluation_groups,time_score_rmse,time_score_mae,time_score_pearson,time_score_spearman,comfort_score_rmse,comfort_score_mae,comfort_score_pearson,comfort_score_spearman,walk_score_rmse,walk_score_mae,walk_score_pearson,walk_score_spearman,transfer_score_rmse,transfer_score_mae,transfer_score_pearson,transfer_score_spearman,reliability_score_rmse,reliability_score_mae,reliability_score_pearson,reliability_score_spearman,macro_rmse,recommend_score_rmse,recommend_score_mae,top1_agreement,ndcg_at_5,balanced_recommend_score_rmse,comfort_recommend_score_rmse,fastest_recommend_score_rmse,less_transfer_recommend_score_rmse,less_walking_recommend_score_rmse
linear,ok,2000,200,12.041729,9.613205,0.747194,0.768705,5.738198,4.68083,0.780875,0.757495,9.621777,7.531705,0.744013,0.791293,21.557575,18.875245,0.80987,0.763084,10.500665,10.246955,0.875258,0.810425,11.891989,7.576218,5.86887,0.689,0.992164,5.979959,4.18702,8.180409,11.029413,6.71843
xgboost,ok,2000,200,11.02002,8.72071,0.796549,0.781411,5.558607,4.53841,0.798361,0.760888,8.483423,6.053385,0.810916,0.820665,5.29422,3.84436,0.956605,0.839335,1.743236,1.47436,0.919469,0.848079,6.419901,5.442099,4.135333,0.693,0.991498,4.767078,3.70754,7.387332,4.708905,5.904647
tabpfn,ok,2000,200,10.640512,8.68077,0.794584,0.777374,5.679624,4.61607,0.786052,0.750141,8.466742,5.958525,0.801187,0.806642,5.174496,3.84932,0.955475,0.828894,1.601939,1.307505,0.927669,0.862625,6.312663,5.343406,4.146776,0.704,0.990893,4.645774,3.804627,7.104618,4.608708,5.914876
